Mass Range,Relative Error Chirp Mass (%),Relative Error Mass Ratio (%)
CNN_low_mass,-4.5009214653297525,20.26343904435635
CNN_low_mass,-1.1495760078244794,25.09603314101696
CNN_low_mass,-0.3358386194893681,25.568117573857307
CNN_low_mass,-5.590949317459488,17.044183611869816
CNN_low_mass,-8.613348240901495,16.418313607573513
CNN_low_mass,-8.595013011445129,13.626578822731975
CNN_low_mass,4.492606108941239,47.6850152015686
CNN_low_mass,0.876369249266072,45.245325565338135
CNN_low_mass,-2.7012947568867385,42.50568151473999
CNN_low_mass,-8.210834622205972,35.45866012573242
CNN_low_mass,5.745699680862967,51.730966567993164
CNN_low_mass,-6.902816128555432,34.26790237426758
CNN_low_mass,1.1530317429831907,46.16222381591797
CNN_low_mass,-16.32864203798523,27.483534812927246
CNN_low_mass,-10.35807966250738,28.224682807922363
CNN_low_mass,-7.914949385636208,35.31618118286133
CNN_low_mass,-0.11181885820621028,41.818225383758545
CNN_low_mass,-4.893569219283333,41.84081554412842
CNN_low_mass,-1.6750236721115859,40.583205223083496
CNN_low_mass,-3.157771215728521,40.33721685409546
CNN_low_mass,-4.726697783877498,38.668668270111084
CNN_low_mass,-0.2143989385666548,42.61617660522461
CNN_low_mass,2.407736913972559,25.966277122497555
CNN_low_mass,-8.078864005500103,22.750447988510125
CNN_low_mass,-10.61078266900187,21.666309833526608
CNN_low_mass,-2.353419791551384,17.719514369964596
CNN_low_mass,-12.638014027718528,18.9174211025238
CNN_low_mass,-8.043856650802518,27.476081848144524
CNN_low_mass,-5.316955833178257,22.29668259620666
CNN_low_mass,125.99539281994122,65.67131757736206
CNN_low_mass,0.8069842391134726,29.216749668121334
CNN_low_mass,-1.346491002810425,26.642150878906246
CNN_low_mass,6.18857239674658,17.846887111663815
CNN_low_mass,-7.753561600121603,24.894487857818596
CNN_low_mass,4.045621595966769,10.011349916458125
CNN_low_mass,-9.028048364427026,22.4549114704132
CNN_low_mass,-3.2036925209152174,22.50209689140319
CNN_low_mass,-10.818899786837054,22.511312961578366
CNN_low_mass,-8.466809709698277,-3.0933195894414807
CNN_low_mass,-6.264066666974191,7.825212045149361
CNN_low_mass,-4.529560422426126,13.727632435885335
CNN_low_mass,-7.441605772677559,10.242370041933919
CNN_low_mass,-8.307488270040565,16.17395335977727
CNN_low_mass,-6.878263269961002,1.619292389262798
CNN_low_mass,-8.400698596132711,11.52405630458484
CNN_low_mass,-2.919146641251219,9.374046325683585
CNN_low_mass,0.23804476451522524,3.180328282442951
CNN_low_mass,-4.13780449428538,7.710228183052747
CNN_low_mass,-6.790292647100152,13.138316978107788
CNN_low_mass,-1.8679321594903948,8.646992119875813
CNN_low_mass,-1.8322802475190105,5.768279595808541
CNN_low_mass,-4.9740188364314255,16.15703105926513
CNN_low_mass,-3.921496386898364,12.11848258972167
CNN_low_mass,-10.067448977221979,16.983522068370462
CNN_low_mass,1.4998170225484497,4.22168374061585
CNN_low_mass,-4.316835815469817,6.209361553192144
CNN_low_mass,-4.288365479297813,-2.5638312101364082
CNN_low_mass,3.433127981610247,-18.78255903720855
CNN_low_mass,-4.515424643016594,-7.527795433998103
CNN_low_mass,-6.18729349294053,-8.885753154754633
CNN_low_mass,-6.260362865192704,-16.5886104106903
CNN_low_mass,-6.955670744018009,-3.607872128486628
CNN_low_mass,-3.961892152757602,-4.132521152496333
CNN_low_mass,-2.5670776941100133,-8.329695463180537
CNN_low_mass,-7.059335998044934,4.029941558837896
